Member Type, Forename, Surname, User ID,  Username, Password, Phone Number, Email, Street Address, Town, Post Code, Date of Birth, Fine
Full, Dick, Gumshoe,01, Scruffy, 1234, 07911871278, detdickgum@gmail.com, 35 Biddulph Way, Ledbury, HR8 2HP, 19-04-1986, 0.00
Full, Ted, Logan, 02, Wyld, 2688, 07763639910, theoLo970@gmail.com, 35 Biddulph Way, Ledbury, HR8 2HP, 02-09-1970, 0.00
Full, Bill, Preston, 03, Stallyns, 1805, 07868474626, bPres1510@gmail.com, 35 Biddulph Way, Ledbury, HR8 2HP, 15-10-1970, 0.00
Staff, Duke, Pantarei,04, Nomos, 4567, 07457371859, deinnomos@gmail.com, 20 Thornton Close, Girton, CB3 0NQ, 08-07-1994, 0.00
Staff, Bill, Bruford, 05, BillBru, 1967, 07882722562, billBrudyes@gmail.com, 6 Pembury House, Ashford, TN23 5TY, 17-05-1949, 0.00
Staff, Lisa, Lisa, 06, CJam, 82394,07983808537, deinnomos@gmail.com, 20 Thornton Close, Girton, CB3 0NQ, 07-08-1984, 0.00
Casual, Tifa, Lockheart, 07, Teefa, 8910, 07181822842, teelock@gmail.com, 53 St James Street, Mangotsfield, BS16 9HE, 03-05-1987, 0.00
Casual, Kei, Mori, 08, Kei, 1109, 07841117928, keimo@gmail.com, 16 Maid Marian Road,Norwich, NR4 6DE, 18-09-1998, 0.00
Casual, Reno, Rude, 09, Leno, 9381, 07716231290, turkre@gmail.com, 45 Wessex Avenue, Bristol, BS7 0DE, 17-03-1979, 0.00
Admin, Cloud, Strife, 10, Puppet, 111213, 07911837432, claudestif@gmail.com, 19 Violet Road, Birkenhead, CH41 0EH, 11-08-1986, 0.00
Casual, Kyle, Taylor, 11, KpTay, test1, 078893943, kptay97@gmail.com, 154 Cocklaw Street, Kelty, KY4 0DH, 08-10-1997, 0.0
